                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4985,                 7.6685,                 2.0885,                 0.5137,                0.37698,                0.34862,                0.20032,                 2.5385,                 4.0682,                  1.925,             0.00023139,             0.00023139,             0.00023139
                      2,                 2.4212,                 2.2847,                 2.0152,                0.27276,                0.23096,                0.12737,                0.06288,                 3.4442,                 19.348,                 2.9461,             0.00046474,             0.00046474,             0.00046474
                      3,                 2.5366,                 2.1027,                 2.0695,                0.05573,                0.00866,                0.00558,                0.00211,                 7.7899,                    inf,                 17.632,             0.00069338,             0.00069338,             0.00069338
                      4,                 2.5437,                  2.008,                 2.1018,                0.43947,                0.32728,                0.25628,                0.14165,                  3.125,                 17.024,                 2.7041,             0.00069279,             0.00069279,             0.00069279
                      5,                 2.4737,                  1.855,                 2.0329,                 0.5949,                0.44002,                0.42582,                0.24273,                 2.6343,                 6.2529,                 1.9499,             0.00068573,             0.00068573,             0.00068573
                      6,                 2.3998,                 1.6887,                 1.9829,                0.64526,                0.44794,                0.47657,                0.27826,                  2.601,                 2.6966,                 1.8821,             0.00067866,             0.00067866,             0.00067866
                      7,                 2.3378,                  1.639,                 1.9782,                0.67051,                0.44453,                0.47102,                0.27025,                 2.7575,                 3.3536,                 2.0404,             0.00067159,             0.00067159,             0.00067159
                      8,                 2.3149,                  1.548,                 1.9301,                0.72001,                0.50781,                0.55784,                 0.3243,                 2.3915,                 1.9056,                 1.7386,             0.00066452,             0.00066452,             0.00066452
                      9,                   2.21,                  1.484,                 1.9436,                0.72943,                0.49078,                0.53769,                0.32381,                  2.393,                 1.8234,                 1.7655,             0.00065745,             0.00065745,             0.00065745
                     10,                 2.2302,                 1.3969,                 1.9079,                0.74224,                0.50327,                0.56173,                0.33613,                 2.3583,                 1.8193,                 1.7317,             0.00065038,             0.00065038,             0.00065038
                     11,                 2.2666,                  1.403,                 1.8997,                0.76045,                0.52923,                0.58577,                0.36429,                 2.2418,                 1.5729,                 1.7008,             0.00064331,             0.00064331,             0.00064331
                     12,                 2.2065,                 1.6239,                 1.8668,                0.78079,                0.53926,                0.59733,                 0.3618,                 2.2746,                 1.3597,                  1.724,             0.00063625,             0.00063625,             0.00063625
                     13,                 2.1954,                 1.3638,                 1.9056,                0.77976,                0.53631,                0.60156,                0.37306,                 2.2085,                 1.4679,                 1.6848,             0.00062918,             0.00062918,             0.00062918
                     14,                  2.163,                 1.3727,                 1.8811,                0.79707,                0.54658,                0.61442,                0.38288,                 2.2262,                 1.3243,                 1.6802,             0.00062211,             0.00062211,             0.00062211
                     15,                 2.1378,                 1.2988,                 1.8607,                0.77228,                 0.5575,                0.61742,                0.38156,                 2.1696,                 1.2953,                 1.6573,             0.00061504,             0.00061504,             0.00061504
                     16,                 2.1061,                 1.2731,                 1.8586,                0.79598,                0.56542,                0.62592,                0.38705,                  2.209,                 1.3022,                 1.6954,             0.00060797,             0.00060797,             0.00060797
                     17,                 2.0858,                 1.2593,                 1.8765,                0.82397,                0.55368,                0.62544,                0.39212,                  2.158,                  1.234,                 1.6624,              0.0006009,              0.0006009,              0.0006009
                     18,                 2.0551,                 1.2603,                 1.8736,                0.80975,                0.55352,                0.62732,                0.38858,                 2.1897,                 1.2883,                 1.6709,             0.00059383,             0.00059383,             0.00059383
                     19,                 2.1122,                 1.2459,                 1.8543,                0.81624,                0.55109,                0.62706,                0.39604,                 2.1268,                 1.2649,                 1.6667,             0.00058677,             0.00058677,             0.00058677
                     20,                 2.0393,                 1.1976,                 1.8605,                0.80134,                 0.5625,                0.62724,                0.40228,                 2.1125,                 1.2236,                 1.6655,              0.0005797,              0.0005797,              0.0005797
                     21,                 2.0041,                 1.2151,                 1.8494,                0.79315,                0.56829,                0.63497,                0.40159,                 2.1624,                 1.2122,                 1.6591,             0.00057263,             0.00057263,             0.00057263
                     22,                 2.0588,                 1.2091,                 1.8417,                0.83415,                0.57893,                 0.6519,                0.41541,                 2.0805,                 1.1603,                 1.6646,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.9784,                 1.1455,                 1.8295,                0.83502,                0.57792,                 0.6546,                0.41162,                 2.0913,                 1.1704,                 1.6543,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.9634,                 1.1123,                 1.8205,                0.81897,                0.58957,                0.65885,                0.42228,                 2.0825,                 1.1542,                 1.6508,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.9567,                   1.13,                 1.8226,                 0.8315,                 0.5698,                0.64621,                0.41667,                 2.0536,                  1.111,                 1.6414,             0.00054435,             0.00054435,             0.00054435
                     26,                  1.928,                 1.0996,                 1.8404,                0.81763,                0.60034,                0.66727,                0.42373,                 2.0184,                 1.0787,                 1.6277,             0.00053728,             0.00053728,             0.00053728
                     27,                 2.0027,                 1.1226,                 1.8239,                0.82787,                 0.5877,                0.66256,                 0.4234,                 2.0416,                 1.1014,                 1.6423,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.9282,                 1.0985,                 1.8162,                0.85559,                0.59402,                0.67328,                0.43204,                  1.999,                 1.0879,                 1.6261,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.8828,                 1.0466,                 1.7984,                0.84329,                0.58864,                0.66963,                0.43639,                 2.0105,                  1.088,                  1.639,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.9342,                 1.0652,                 1.8246,                0.84864,                0.59848,                0.68038,                0.43542,                 1.9904,                 1.0813,                 1.6253,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.8843,                 1.0522,                 1.8033,                0.83295,                0.59239,                0.66997,                0.42978,                  2.004,                 1.0873,                  1.618,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.8857,                 1.0638,                 1.7963,                0.82597,                 0.5936,                0.67717,                0.43406,                 2.0286,                 1.1017,                  1.635,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.8524,                 1.0154,                  1.789,                0.82358,                0.61054,                0.68237,                0.44038,                 1.9547,                 1.0445,                 1.6004,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.8594,                 1.0029,                 1.8103,                0.83143,                  0.604,                0.67558,                 0.4335,                 1.9716,                 1.0979,                 1.6152,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.9036,                 1.0358,                 1.8174,                0.84482,                0.60848,                0.69491,                0.45406,                 1.9477,                 1.0249,                 1.6189,             0.00047367,             0.00047367,             0.00047367
                     36,                  1.848,                 1.0033,                 1.7946,                0.83956,                0.61446,                0.69741,                0.45474,                  1.957,                 1.0083,                 1.6152,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.8514,                 1.0015,                 1.8153,                0.86131,                0.61221,                 0.6963,                0.45228,                 1.9369,                 1.0084,                 1.6033,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.7812,                 1.0795,                  1.755,                0.85661,                    0.6,                0.68982,                0.45074,                 1.9686,                 1.0174,                 1.6129,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.8214,                0.97202,                 1.7861,                0.85868,                0.59222,                0.68087,                0.44865,                 1.9343,                 1.0113,                 1.6068,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.8129,                0.99542,                 1.7834,                0.82938,                0.62247,                0.69439,                0.44841,                 1.9404,                  1.026,                 1.6237,             0.00043832,             0.00043832,             0.00043832
                     41,                  1.775,                0.98077,                 1.7929,                0.84425,                0.61565,                0.69787,                0.44853,                 1.9523,                  1.001,                 1.6156,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.8123,                 0.9939,                 1.7775,                0.84176,                0.61605,                 0.7025,                0.45862,                 1.9303,                0.98592,                 1.6168,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.7692,                0.98634,                 1.7996,                0.86642,                0.60234,                0.70316,                0.46719,                 1.9022,                0.97019,                 1.6164,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.8118,                0.95987,                 1.7613,                0.84554,                0.62385,                0.71118,                0.46757,                 1.9335,                0.98523,                 1.6116,             0.00041005,             0.00041005,             0.00041005
                     45,                  1.721,                0.91107,                 1.7738,                0.84048,                0.61553,                0.70363,                0.46547,                 1.9077,                0.97494,                 1.6155,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.7125,                 0.9063,                 1.7672,                 0.8846,                0.60956,                0.71407,                0.47123,                  1.908,                0.97008,                 1.6026,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.7374,                0.90659,                 1.7591,                0.86458,                0.61144,                0.70205,                0.46328,                 1.9017,                0.97406,                 1.6081,             0.00038884,             0.00038884,             0.00038884
