                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7039,                 16.503,                 2.1308,                 0.3579,                0.22385,                0.21789,                0.15231,                  2.487,                 7.1131,                 1.7171,             0.00023139,             0.00023139,             0.00023139
                      2,                 2.4789,                 2.7117,                 1.9747,                0.54539,                0.37713,                 0.2928,                0.16133,                 3.0037,                 6.1462,                 2.0792,             0.00046474,             0.00046474,             0.00046474
                      3,                 2.5349,                 2.0848,                 2.0102,                0.40572,                0.34253,                0.23932,                0.11403,                 3.6004,                 10.333,                 2.5865,             0.00069338,             0.00069338,             0.00069338
                      4,                 2.4918,                 1.9452,                 2.0211,                0.40752,                0.37718,                0.28779,                0.15442,                 2.9438,                 8.6498,                 2.0737,             0.00069279,             0.00069279,             0.00069279
                      5,                 2.4696,                 1.8086,                 1.9733,                0.60394,                0.40951,                0.40611,                 0.2285,                 2.7637,                 4.2495,                 1.9264,             0.00068573,             0.00068573,             0.00068573
                      6,                  2.374,                  1.653,                 1.9318,                 0.6134,                0.44612,                0.45217,                0.26412,                 2.5746,                 3.6398,                  1.827,             0.00067866,             0.00067866,             0.00067866
                      7,                 2.3696,                  1.639,                 1.9411,                0.75067,                0.43814,                0.50126,                0.28534,                 2.5464,                 2.2547,                  1.763,             0.00067159,             0.00067159,             0.00067159
                      8,                 2.3272,                 1.5556,                 1.8923,                 0.6739,                0.45753,                0.49522,                0.28685,                  2.524,                 2.2619,                 1.7461,             0.00066452,             0.00066452,             0.00066452
                      9,                 2.2365,                 1.4933,                 1.9068,                0.77005,                0.49415,                0.57238,                0.33573,                  2.409,                  1.581,                 1.7346,             0.00065745,             0.00065745,             0.00065745
                     10,                 2.2446,                  1.418,                 1.8736,                0.77761,                0.47996,                0.54991,                0.33014,                 2.3586,                 1.6129,                 1.7026,             0.00065038,             0.00065038,             0.00065038
                     11,                 2.3051,                 1.4401,                 1.8666,                0.73995,                0.51183,                0.56056,                0.34549,                 2.2797,                  1.699,                 1.6555,             0.00064331,             0.00064331,             0.00064331
                     12,                 2.2303,                 1.4916,                 1.8297,                0.78214,                0.51803,                0.58664,                0.34951,                  2.271,                 1.4581,                 1.6532,             0.00063625,             0.00063625,             0.00063625
                     13,                 2.1606,                 1.3366,                 1.8547,                0.75955,                0.52663,                0.58649,                0.36043,                 2.2126,                 1.6473,                 1.6562,             0.00062918,             0.00062918,             0.00062918
                     14,                 2.2006,                 1.4366,                 1.8459,                0.78572,                0.53696,                0.60146,                0.37583,                 2.2106,                 1.3448,                 1.6559,             0.00062211,             0.00062211,             0.00062211
                     15,                 2.1518,                 1.3045,                 1.8372,                0.78933,                0.54559,                0.59828,                 0.3564,                 2.2914,                 1.3431,                 1.6605,             0.00061504,             0.00061504,             0.00061504
                     16,                 2.1301,                  1.301,                 1.8349,                0.78824,                0.55757,                0.61805,                0.38176,                 2.1626,                 1.2306,                 1.6335,             0.00060797,             0.00060797,             0.00060797
                     17,                 2.1024,                 1.2805,                 1.8383,                0.77539,                0.55036,                0.61192,                0.37691,                  2.156,                 1.2957,                 1.6522,              0.0006009,              0.0006009,              0.0006009
                     18,                 2.0814,                 1.3125,                 1.8508,                0.81003,                0.52518,                0.61384,                 0.3833,                 2.1776,                 1.2583,                 1.6407,             0.00059383,             0.00059383,             0.00059383
                     19,                 2.1595,                 1.2739,                 1.8365,                0.78825,                0.55979,                0.62425,                0.38509,                 2.1634,                 1.2969,                 1.6318,             0.00058677,             0.00058677,             0.00058677
                     20,                 2.0778,                 1.2402,                 1.8271,                0.79032,                 0.5427,                0.61387,                0.37431,                 2.2111,                 1.2861,                 1.6483,              0.0005797,              0.0005797,              0.0005797
                     21,                  2.048,                  1.198,                 1.8155,                0.81828,                0.54988,                0.62659,                0.38851,                 2.1677,                 1.2013,                 1.6281,             0.00057263,             0.00057263,             0.00057263
                     22,                 2.0891,                 1.2406,                 1.8166,                0.81638,                0.56321,                0.63865,                0.40455,                 2.1339,                 1.1944,                 1.6503,             0.00056556,             0.00056556,             0.00056556
                     23,                 2.0342,                 1.2011,                 1.8132,                0.80661,                0.56603,                0.63252,                0.39065,                 2.1706,                 1.1884,                 1.6387,             0.00055849,             0.00055849,             0.00055849
                     24,                 2.0118,                 1.1613,                 1.8082,                0.82963,                0.56647,                0.64483,                0.40706,                 2.0771,                  1.158,                 1.6127,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.9975,                 1.1718,                 1.8006,                0.82647,                0.57777,                0.64751,                0.40705,                 2.0871,                 1.1634,                  1.621,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.9736,                 1.1507,                 1.8225,                0.82559,                0.57548,                0.65249,                0.41299,                 2.0682,                 1.1342,                 1.6083,             0.00053728,             0.00053728,             0.00053728
                     27,                 2.0273,                 1.1189,                  1.797,                0.81574,                0.58535,                0.65717,                0.41047,                 2.0755,                 1.1279,                 1.6107,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.9506,                 1.1233,                 1.7954,                0.83256,                0.59105,                0.65026,                 0.4068,                 2.0721,                 1.2358,                 1.6166,             0.00052315,             0.00052315,             0.00052315
