                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1603,                 2.7999,                 1.0926,                0.99924,                0.05809,                0.11329,                0.09381,                 1.1544,                 3.1221,                0.85479,             0.00023139,             0.00023139,             0.00023139
                      2,                 1.0115,                 1.3695,                0.99647,                0.98752,                0.07109,                0.24434,                0.17028,                 1.1218,                 2.6433,                  0.868,             0.00046474,             0.00046474,             0.00046474
                      3,                0.97131,                 1.1947,                0.98834,                0.82111,                0.23159,                0.32293,                0.19608,                 1.1856,                 1.9889,                 0.9287,             0.00069338,             0.00069338,             0.00069338
                      4,                 0.9484,                 1.0749,                 0.9918,                0.67368,                0.28312,                0.32854,                0.19557,                 1.2295,                 1.7073,                0.95748,             0.00069279,             0.00069279,             0.00069279
                      5,                0.94123,                0.96948,                0.97996,                 0.7161,                0.36482,                0.42036,                0.25755,                 1.0488,                0.95852,                0.85763,             0.00068573,             0.00068573,             0.00068573
                      6,                0.91238,                 0.8386,                0.96108,                  0.741,                0.42933,                0.47164,                0.28857,                 1.0306,                 0.7915,                0.86981,             0.00067866,             0.00067866,             0.00067866
                      7,                0.89735,                0.77721,                0.95473,                0.75787,                0.44041,                0.50252,                0.29858,                0.99771,                0.77281,                0.83606,             0.00067159,             0.00067159,             0.00067159
                      8,                0.90799,                0.75148,                0.94718,                0.77096,                0.44114,                0.48825,                0.29335,                 1.0124,                0.97475,                0.84828,             0.00066452,             0.00066452,             0.00066452
                      9,                0.87317,                0.69417,                 0.9577,                0.78399,                0.47172,                0.53091,                0.31993,                0.99479,                0.73728,                0.84319,             0.00065745,             0.00065745,             0.00065745
                     10,                0.87678,                0.66902,                0.94252,                0.75933,                0.48883,                0.53332,                0.32459,                0.94503,                0.65196,                0.81955,             0.00065038,             0.00065038,             0.00065038
                     11,                0.88777,                 0.6608,                0.93485,                 0.7595,                0.47815,                0.52602,                0.31862,                0.95478,                 0.6804,                0.81299,             0.00064331,             0.00064331,             0.00064331
                     12,                0.89067,                0.71249,                0.92508,                0.74892,                 0.4774,                0.53265,                0.32374,                 0.9504,                 0.6742,                0.82096,             0.00063625,             0.00063625,             0.00063625
                     13,                0.86329,                0.62596,                0.93257,                0.77921,                0.48224,                0.54516,                0.33115,                0.94673,                0.66871,                0.82318,             0.00062918,             0.00062918,             0.00062918
                     14,                0.86572,                0.64386,                0.93214,                 0.8009,                0.49047,                0.55563,                0.34127,                0.90961,                0.60922,                0.79686,             0.00062211,             0.00062211,             0.00062211
                     15,                0.84734,                0.60241,                0.92794,                 0.7709,                0.48893,                0.54709,                0.33307,                0.92886,                0.67484,                0.81625,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.8308,                0.58507,                0.92776,                 0.8138,                0.49339,                0.55813,                0.34743,                0.91103,                0.60761,                0.80845,             0.00060797,             0.00060797,             0.00060797
                     17,                0.84855,                0.60356,                0.93843,                0.79399,                0.47402,                0.55206,                0.34526,                0.90307,                0.60791,                0.80714,              0.0006009,              0.0006009,              0.0006009
                     18,                0.83545,                 0.6048,                0.94571,                0.78125,                0.50309,                0.56685,                0.34698,                0.90451,                0.60812,                0.80719,             0.00059383,             0.00059383,             0.00059383
                     19,                0.85099,                0.59027,                0.92615,                0.77039,                0.51458,                0.57181,                0.34776,                 0.9191,                0.63756,                0.80846,             0.00058677,             0.00058677,             0.00058677
                     20,                0.81717,                0.56532,                0.92579,                0.79348,                0.50724,                0.57292,                0.35801,                0.88792,                0.60574,                0.79893,              0.0005797,              0.0005797,              0.0005797
                     21,                 0.8171,                0.55198,                0.92301,                 0.8182,                0.52336,                0.59018,                0.36328,                0.90032,                0.58751,                0.79667,             0.00057263,             0.00057263,             0.00057263
                     22,                0.84336,                0.58925,                0.92696,                0.82058,                0.51324,                0.58483,                0.36166,                0.88977,                0.59806,                0.79944,             0.00056556,             0.00056556,             0.00056556
                     23,                0.79573,                0.53934,                0.91876,                0.80002,                0.52458,                0.58596,                0.36062,                0.90943,                0.60863,                0.81324,             0.00055849,             0.00055849,             0.00055849
                     24,                0.79173,                0.52941,                0.91366,                0.83558,                0.51355,                0.59349,                 0.3745,                0.87156,                 0.5668,                0.79288,             0.00055142,             0.00055142,             0.00055142
                     25,                0.78302,                0.54698,                 0.9148,                0.82882,                0.51607,                0.59496,                0.36962,                0.86596,                0.55677,                0.78988,             0.00054435,             0.00054435,             0.00054435
                     26,                0.78154,                0.51963,                0.92685,                0.83125,                0.52867,                 0.5982,                0.36973,                0.87661,                0.55626,                0.79815,             0.00053728,             0.00053728,             0.00053728
                     27,                0.81739,                 0.5466,                0.91469,                0.82232,                0.53651,                0.60144,                0.37295,                 0.8818,                0.57528,                0.79617,             0.00053022,             0.00053022,             0.00053022
                     28,                0.77817,                 0.5206,                   0.91,                 0.8324,                0.53361,                0.60617,                0.37672,                0.84896,                0.55068,                0.78875,             0.00052315,             0.00052315,             0.00052315
                     29,                0.75756,                0.50138,                0.90102,                0.82789,                0.52759,                0.60513,                0.38299,                0.83691,                0.50979,                0.77573,             0.00051608,             0.00051608,             0.00051608
                     30,                0.79162,                0.52001,                0.91515,                0.84189,                0.51859,                 0.5938,                0.37073,                0.86464,                0.53826,                0.78946,             0.00050901,             0.00050901,             0.00050901
                     31,                0.76584,                0.51189,                0.90949,                0.84374,                0.53533,                0.60873,                 0.3775,                0.87079,                0.53826,                0.79289,             0.00050194,             0.00050194,             0.00050194
                     32,                0.76638,                0.50219,                 0.9021,                 0.8272,                0.54344,                0.61342,                0.38112,                0.85767,                0.53276,                0.78765,             0.00049487,             0.00049487,             0.00049487
                     33,                0.75404,                 0.4926,                0.90492,                0.83271,                 0.5393,                0.60514,                0.38105,                0.85737,                 0.5311,                 0.7867,              0.0004878,              0.0004878,              0.0004878
                     34,                0.76626,                0.49251,                0.90891,                0.83254,                0.54521,                0.61327,                 0.3843,                0.85186,                0.53324,                0.78646,             0.00048074,             0.00048074,             0.00048074
                     35,                0.76632,                0.49395,                0.91192,                0.84159,                 0.5513,                0.62309,                0.38897,                0.84038,                0.51341,                0.77908,             0.00047367,             0.00047367,             0.00047367
                     36,                0.75003,                0.49343,                0.90417,                0.83021,                0.55066,                0.61933,                0.39392,                0.83254,                0.50314,                0.77751,              0.0004666,              0.0004666,              0.0004666
                     37,                0.75872,                0.48917,                0.90664,                0.84161,                0.55243,                0.62431,                0.39701,                0.83067,                0.49675,                 0.7788,             0.00045953,             0.00045953,             0.00045953
                     38,                0.72806,                0.48619,                0.88776,                0.84515,                0.55306,                0.62788,                0.39666,                0.83422,                0.49971,                0.77622,             0.00045246,             0.00045246,             0.00045246
                     39,                0.74072,                0.47274,                0.89934,                0.85903,                0.55455,                0.62998,                0.39879,                0.81586,                0.49734,                0.77851,             0.00044539,             0.00044539,             0.00044539
                     40,                0.74062,                 0.4799,                0.89931,                0.83507,                0.55606,                0.62791,                0.39588,                0.82938,                0.50268,                0.78275,             0.00043832,             0.00043832,             0.00043832
                     41,                0.72514,                0.46894,                 0.8971,                0.84069,                0.55113,                0.62016,                0.38825,                0.82341,                0.49736,                0.77025,             0.00043126,             0.00043126,             0.00043126
                     42,                0.73794,                0.46522,                0.89697,                0.84891,                0.54694,                0.63236,                0.40104,                0.80669,                0.48918,                0.77028,             0.00042419,             0.00042419,             0.00042419
                     43,                0.72872,                0.46956,                 0.9094,                0.83474,                0.55806,                0.62514,                 0.3969,                0.81881,                0.48987,                 0.7705,             0.00041712,             0.00041712,             0.00041712
                     44,                0.74589,                0.46458,                0.88652,                 0.8364,                0.56483,                0.63925,                0.40345,                0.81828,                0.48837,                0.77145,             0.00041005,             0.00041005,             0.00041005
                     45,                0.71971,                0.45606,                0.89502,                0.83715,                0.55842,                0.63115,                0.39842,                0.81483,                0.48272,                0.77776,             0.00040298,             0.00040298,             0.00040298
                     46,                0.71123,                  0.449,                0.89742,                0.81983,                0.55369,                0.63345,                 0.4025,                0.81179,                0.48985,                0.77205,             0.00039591,             0.00039591,             0.00039591
                     47,                0.71029,                0.45238,                0.89002,                0.82319,                0.56662,                0.62904,                0.39853,                0.83801,                0.51017,                 0.7859,             0.00038884,             0.00038884,             0.00038884
                     48,                0.72996,                0.44924,                0.88933,                0.84945,                0.55842,                0.63064,                0.39771,                0.83822,                0.50379,                0.79057,             0.00038178,             0.00038178,             0.00038178
                     49,                0.75414,                0.51266,                0.87586,                0.84671,                0.55277,                0.62366,                0.39489,                0.82016,                0.49337,                 0.7793,             0.00037471,             0.00037471,             0.00037471
                     50,                0.73303,                 0.4513,                0.89275,                0.82515,                0.58119,                0.64671,                0.41081,                0.80235,                0.47524,                0.77383,             0.00036764,             0.00036764,             0.00036764
                     51,                0.72482,                0.44459,                0.90216,                0.80262,                0.58384,                0.64197,                0.40829,                 0.8137,                0.48148,                0.78174,             0.00036057,             0.00036057,             0.00036057
                     52,                0.70107,                 0.4359,                0.89235,                0.83715,                0.56718,                0.63754,                0.40376,                0.80288,                0.47741,                0.77446,              0.0003535,              0.0003535,              0.0003535
                     53,                0.70572,                 0.4375,                0.89403,                0.83777,                 0.5674,                 0.6405,                0.40741,                0.82727,                0.48375,                0.78821,             0.00034643,             0.00034643,             0.00034643
                     54,                0.68325,                0.43089,                0.88661,                  0.844,                0.57035,                0.64035,                0.40565,                0.79357,                0.47611,                0.77038,             0.00033936,             0.00033936,             0.00033936
                     55,                0.71374,                0.45132,                0.89314,                0.83349,                0.58614,                0.65123,                0.41359,                0.79485,                0.46505,                0.76835,              0.0003323,              0.0003323,              0.0003323
                     56,                0.68909,                0.44686,                0.89189,                 0.8411,                0.57876,                0.65303,                0.41476,                  0.797,                0.46973,                0.76768,             0.00032523,             0.00032523,             0.00032523
                     57,                0.70149,                 0.4387,                 0.8821,                0.84068,                0.58183,                 0.6546,                0.41856,                0.79569,                0.45721,                0.77199,             0.00031816,             0.00031816,             0.00031816
                     58,                0.69517,                0.42985,                0.89292,                0.83623,                0.58335,                0.65297,                0.41514,                0.78667,                0.45968,                0.76941,             0.00031109,             0.00031109,             0.00031109
                     59,                0.69551,                 0.4261,                0.88489,                0.84323,                0.58016,                0.65662,                0.41792,                0.78819,                0.46892,                0.76775,             0.00030402,             0.00030402,             0.00030402
                     60,                0.69221,                0.42533,                0.88578,                0.86684,                0.58186,                0.65972,                0.42234,                0.78487,                0.46151,                0.77089,             0.00029695,             0.00029695,             0.00029695
                     61,                0.70079,                0.43746,                0.88483,                0.86274,                0.57327,                0.64941,                0.41882,                0.78251,                0.46114,                0.77067,             0.00028988,             0.00028988,             0.00028988
                     62,                0.67585,                0.42526,                0.88271,                0.86571,                0.57062,                0.64918,                0.41889,                0.79073,                0.45746,                0.76846,             0.00028282,             0.00028282,             0.00028282
                     63,                0.70364,                0.43308,                0.88383,                0.86016,                 0.5781,                0.65097,                0.41767,                0.78565,                0.45129,                0.76455,             0.00027575,             0.00027575,             0.00027575
                     64,                0.70798,                0.42896,                0.88349,                0.83965,                0.58475,                 0.6548,                0.42042,                0.77982,                0.44752,                0.76429,             0.00026868,             0.00026868,             0.00026868
                     65,                0.71716,                0.44082,                 0.8852,                0.83891,                0.58364,                0.66199,                0.42696,                 0.7791,                0.46027,                0.76293,             0.00026161,             0.00026161,             0.00026161
                     66,                0.68634,                0.41492,                0.88862,                0.84439,                0.59482,                0.66008,                0.42418,                0.77461,                0.44836,                0.76364,             0.00025454,             0.00025454,             0.00025454
                     67,                0.71026,                0.43002,                0.88753,                0.84096,                0.59575,                0.66301,                0.42356,                0.77307,                0.44647,                0.76518,             0.00024747,             0.00024747,             0.00024747
                     68,                0.67915,                0.41196,                0.87743,                0.85499,                0.58419,                0.66082,                0.42501,                 0.7709,                0.43792,                 0.7634,              0.0002404,              0.0002404,              0.0002404
                     69,                 0.7016,                0.42445,                0.88625,                0.86473,                0.57016,                0.65526,                0.41991,                0.78403,                0.45455,                0.76711,             0.00023334,             0.00023334,             0.00023334
                     70,                0.69137,                0.41673,                0.88142,                0.82476,                0.59184,                0.65508,                0.42219,                0.76883,                0.44556,                0.76235,             0.00022627,             0.00022627,             0.00022627
                     71,                0.67494,                0.40186,                0.88143,                0.83804,                0.59663,                0.66559,                0.42827,                0.77035,                0.43916,                0.76266,              0.0002192,              0.0002192,              0.0002192
                     72,                0.67942,                0.40405,                0.87898,                0.84127,                 0.5939,                0.66345,                0.42787,                0.76951,                 0.4436,                0.76484,             0.00021213,             0.00021213,             0.00021213
                     73,                0.67454,                 0.4035,                0.88399,                0.84759,                0.59626,                0.66785,                 0.4323,                0.76336,                0.43932,                0.75818,             0.00020506,             0.00020506,             0.00020506
                     74,                0.66747,                0.40081,                0.88729,                0.85423,                0.59403,                0.66767,                0.42864,                0.76594,                0.44082,                0.76016,             0.00019799,             0.00019799,             0.00019799
                     75,                0.66937,                0.40154,                0.87577,                0.84743,                 0.5944,                0.66109,                0.42639,                 0.7711,                0.44279,                0.76368,             0.00019092,             0.00019092,             0.00019092
                     76,                0.68397,                0.40473,                0.87368,                0.85363,                0.59039,                0.66771,                0.42949,                0.76507,                0.44195,                0.76237,             0.00018385,             0.00018385,             0.00018385
                     77,                0.67148,                0.40236,                0.87555,                0.83356,                0.59809,                0.66508,                0.42925,                0.76732,                 0.4417,                0.76436,             0.00017679,             0.00017679,             0.00017679
                     78,                0.67883,                 0.3929,                0.89574,                0.86578,                0.59419,                0.67278,                0.43599,                0.76031,                0.43659,                0.76139,             0.00016972,             0.00016972,             0.00016972
                     79,                0.67253,                0.39849,                0.88308,                 0.8495,                0.60172,                0.67223,                0.43358,                0.76302,                0.43896,                0.76335,             0.00016265,             0.00016265,             0.00016265
                     80,                0.65839,                0.39785,                0.87637,                0.87048,                0.59535,                0.67523,                0.43743,                0.75857,                0.43472,                0.76118,             0.00015558,             0.00015558,             0.00015558
                     81,                0.66389,                0.39607,                0.87839,                0.84121,                0.59978,                0.66793,                0.43203,                0.76029,                0.42802,                0.76162,             0.00014851,             0.00014851,             0.00014851
                     82,                0.66272,                0.39827,                0.87589,                0.84547,                0.60403,                0.67374,                0.43785,                0.75249,                0.42616,                0.75878,             0.00014144,             0.00014144,             0.00014144
                     83,                0.67254,                0.39966,                0.87667,                 0.8574,                0.60098,                0.67115,                0.43366,                0.75189,                0.42755,                0.75847,             0.00013437,             0.00013437,             0.00013437
                     84,                0.67085,                0.40087,                0.87777,                0.85533,                0.60086,                0.66874,                0.43414,                0.75652,                0.42589,                0.75934,             0.00012731,             0.00012731,             0.00012731
                     85,                0.66469,                 0.3964,                0.88157,                0.84321,                0.60673,                0.67155,                0.43378,                0.75013,                0.42777,                0.75902,             0.00012024,             0.00012024,             0.00012024
                     86,                0.68474,                0.47064,                0.93336,                0.84403,                0.60327,                 0.6697,                0.43544,                0.75056,                0.42515,                0.75586,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.6624,                 0.3903,                 0.8814,                0.85888,                0.60079,                0.67115,                0.43778,                0.74577,                0.42429,                0.75761,              0.0001061,              0.0001061,              0.0001061
                     88,                0.65947,                0.38638,                0.87337,                0.85867,                0.60644,                0.67804,                0.44054,                0.74716,                0.42515,                0.75722,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.6215,                0.36794,                0.87601,                0.85574,                0.60617,                0.67497,                0.43941,                0.75279,                0.42536,                0.76203,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.64292,                 0.3843,                0.88432,                0.86137,                0.60445,                0.67312,                0.43682,                0.75078,                 0.4256,                 0.7605,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.71322,                0.38888,                0.86392,                0.86943,                 0.6017,                0.67671,                0.43428,                0.76641,                0.44006,                0.77154,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.7071,                0.38677,                  0.866,                0.85339,                0.60615,                 0.6754,                  0.437,                0.76144,                0.43276,                0.77313,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.70877,                 0.3866,                0.86005,                0.86439,                0.59788,                0.67353,                0.43529,                0.76188,                0.43595,                0.77593,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.71113,                0.39198,                 0.8611,                 0.8641,                0.59927,                0.67629,                0.43983,                 0.7533,                0.42967,                 0.7684,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.71708,                0.39189,                 0.8598,                 0.8685,                0.59901,                0.67568,                0.44006,                 0.7519,                0.43014,                0.76728,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.71955,                0.39834,                0.86709,                0.86647,                0.60193,                0.68012,                0.44287,                0.74215,                0.41966,                0.75772,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.71015,                0.38745,                0.86083,                0.87392,                0.59761,                0.68128,                0.44246,                0.73853,                0.41478,                0.75529,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.71286,                0.38875,                0.85401,                0.87654,                0.60033,                0.68293,                0.44157,                 0.7374,                0.41348,                0.75432,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.69971,                 0.3795,                0.85837,                0.87145,                0.60177,                0.67958,                0.44122,                0.73999,                0.41488,                0.75528,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                  0.693,                0.37665,                0.85715,                0.86877,                0.60239,                0.68179,                0.44293,                0.73813,                0.41289,                0.75538,             1.4209e-05,             1.4209e-05,             1.4209e-05
