                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1407,                 2.5722,                 1.1086,                0.73021,                0.41523,                0.46377,                0.29846,                0.96977,                0.82774,                0.84202,             0.00023139,             0.00023139,             0.00023139
                      2,                0.90709,                0.77168,                0.96104,                0.67961,                0.41695,                0.45039,                0.24972,                 1.2047,                 1.1151,                0.96156,             0.00046474,             0.00046474,             0.00046474
                      3,                0.91696,                0.73183,                0.97876,                0.59145,                0.34967,                0.34373,                0.21241,                 1.0858,                  2.341,                0.93677,             0.00069338,             0.00069338,             0.00069338
                      4,                0.91854,                0.72113,                0.98387,                0.71565,                0.45428,                0.50067,                0.29436,                 1.0333,                0.86188,                0.86554,             0.00069279,             0.00069279,             0.00069279
                      5,                0.89664,                 0.7008,                0.96813,                 0.7521,                0.45392,                 0.5091,                  0.311,                 1.0058,                0.89442,                0.87521,             0.00068573,             0.00068573,             0.00068573
                      6,                0.86393,                0.63513,                0.94718,                0.77677,                0.48842,                0.56995,                0.34916,                0.96313,                0.69815,                0.83821,             0.00067866,             0.00067866,             0.00067866
                      7,                 0.8794,                0.61935,                0.96225,                0.79633,                0.49074,                0.55056,                0.33557,                 0.9712,                0.71209,                0.85539,             0.00067159,             0.00067159,             0.00067159
                      8,                0.85091,                0.59299,                0.93422,                0.80116,                0.50916,                0.56297,                 0.3417,                0.92306,                 0.6348,                0.81732,             0.00066452,             0.00066452,             0.00066452
                      9,                 0.8143,                0.55473,                0.94072,                0.77745,                0.51967,                0.58017,                0.36026,                    0.9,                0.60161,                0.81408,             0.00065745,             0.00065745,             0.00065745
                     10,                  0.827,                0.55263,                0.92609,                0.79495,                 0.5471,                0.60688,                0.37635,                0.88142,                0.56753,                0.80079,             0.00065038,             0.00065038,             0.00065038
                     11,                0.83844,                0.55382,                0.92163,                0.79409,                0.55451,                0.61059,                0.37061,                0.88688,                0.59107,                0.80956,             0.00064331,             0.00064331,             0.00064331
                     12,                 0.8398,                0.55306,                0.91163,                 0.7951,                0.54008,                0.59932,                0.36482,                0.89416,                 0.5688,                 0.8073,             0.00063625,             0.00063625,             0.00063625
                     13,                0.81371,                0.53496,                0.92366,                0.80161,                0.53589,                0.60667,                0.37159,                0.89183,                0.58222,                0.80936,             0.00062918,             0.00062918,             0.00062918
                     14,                0.81412,                0.55314,                 0.9189,                0.81774,                0.54752,                0.62802,                0.39749,                0.85793,                0.53295,                0.79604,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.7914,                0.51154,                0.91167,                0.83118,                0.57749,                0.62974,                0.38818,                0.86546,                0.54071,                0.79995,             0.00061504,             0.00061504,             0.00061504
                     16,                0.78529,                0.51605,                 0.9184,                0.80093,                0.57448,                 0.6302,                0.38906,                0.86253,                0.54723,                0.80277,             0.00060797,             0.00060797,             0.00060797
                     17,                0.79506,                0.52255,                0.92402,                 0.8101,                0.57167,                0.63813,                0.39274,                0.83296,                0.50822,                0.78243,              0.0006009,              0.0006009,              0.0006009
                     18,                0.78487,                0.49935,                0.93996,                0.82666,                0.57759,                0.64096,                0.39774,                0.83008,                0.51536,                0.78846,             0.00059383,             0.00059383,             0.00059383
                     19,                0.78814,                0.48733,                0.91489,                0.84351,                0.56123,                0.63784,                0.40003,                0.84594,                0.53257,                0.80511,             0.00058677,             0.00058677,             0.00058677
                     20,                0.76696,                0.48769,                0.91094,                0.84279,                 0.5824,                0.65622,                0.41239,                0.81242,                0.48903,                0.78287,              0.0005797,              0.0005797,              0.0005797
                     21,                0.75047,                0.47405,                0.90567,                0.83793,                0.58279,                0.65343,                0.41182,                0.81913,                0.49269,                0.78496,             0.00057263,             0.00057263,             0.00057263
                     22,                0.77856,                0.49099,                0.90931,                0.84243,                0.58835,                0.65782,                0.40868,                0.83664,                0.49436,                 0.7922,             0.00056556,             0.00056556,             0.00056556
                     23,                0.72811,                 0.4671,                0.90049,                 0.8574,                0.56488,                0.64556,                0.40901,                0.83392,                 0.5073,                0.79405,             0.00055849,             0.00055849,             0.00055849
                     24,                0.73398,                 0.4605,                0.89948,                0.85803,                0.58312,                0.66825,                0.42872,                0.80751,                0.47436,                0.78535,             0.00055142,             0.00055142,             0.00055142
                     25,                0.73882,                0.47225,                0.90178,                0.84064,                0.59706,                0.66452,                0.42542,                0.80467,                0.48136,                0.78431,             0.00054435,             0.00054435,             0.00054435
                     26,                0.72154,                0.45694,                0.90817,                0.83488,                0.59747,                0.67003,                0.42829,                0.80092,                0.47619,                0.78631,             0.00053728,             0.00053728,             0.00053728
                     27,                0.75064,                0.47299,                0.89758,                0.83166,                0.60063,                0.66052,                0.42117,                0.79655,                0.47073,                0.77533,             0.00053022,             0.00053022,             0.00053022
                     28,                0.72439,                0.45419,                0.89585,                0.82686,                0.60475,                0.66626,                0.42108,                0.79027,                0.47098,                0.77508,             0.00052315,             0.00052315,             0.00052315
                     29,                0.69286,                0.43351,                0.88548,                0.85748,                0.60231,                0.67857,                0.43095,                0.79579,                0.48851,                0.77507,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.7314,                0.44472,                 0.8993,                0.86289,                0.60184,                0.67823,                0.42446,                0.80811,                0.46361,                0.78201,             0.00050901,             0.00050901,             0.00050901
                     31,                0.70146,                 0.4377,                0.89247,                0.87343,                0.59365,                0.67814,                0.43308,                0.78516,                0.45245,                0.77775,             0.00050194,             0.00050194,             0.00050194
                     32,                0.69321,                0.43647,                0.88219,                0.84303,                0.60252,                0.67993,                0.43373,                0.79492,                0.45985,                0.77717,             0.00049487,             0.00049487,             0.00049487
                     33,                0.69544,                0.43253,                0.88877,                0.85414,                 0.5997,                0.67224,                0.43222,                0.80075,                0.46611,                0.78772,              0.0004878,              0.0004878,              0.0004878
                     34,                0.70252,                0.42914,                0.89341,                0.84625,                0.60566,                0.67132,                0.42902,                0.79517,                 0.4666,                0.78234,             0.00048074,             0.00048074,             0.00048074
                     35,                0.71638,                0.43211,                0.89743,                0.82858,                0.61596,                0.67439,                0.43165,                 0.7881,                0.45721,                0.77867,             0.00047367,             0.00047367,             0.00047367
                     36,                0.69201,                0.42424,                0.88875,                0.85045,                 0.6098,                0.68249,                0.44094,                0.78594,                0.45499,                0.77845,              0.0004666,              0.0004666,              0.0004666
                     37,                0.69605,                0.42702,                0.89047,                0.85738,                0.62039,                0.69193,                0.44472,                0.77922,                0.44131,                0.77897,             0.00045953,             0.00045953,             0.00045953
                     38,                 0.6647,                0.57606,                0.87044,                0.86373,                0.60997,                0.68881,                0.44403,                 0.7869,                0.44131,                0.78133,             0.00045246,             0.00045246,             0.00045246
                     39,                0.67912,                0.41167,                0.88669,                0.82774,                0.61899,                0.68234,                0.44603,                0.77135,                0.44046,                0.77696,             0.00044539,             0.00044539,             0.00044539
                     40,                0.67964,                0.41318,                0.88407,                0.87296,                0.61225,                0.69417,                0.44597,                0.77736,                0.44458,                0.77416,             0.00043832,             0.00043832,             0.00043832
                     41,                0.66972,                 0.4147,                 0.8869,                0.84093,                0.62179,                0.68753,                0.44085,                0.78424,                0.44363,                0.77768,             0.00043126,             0.00043126,             0.00043126
                     42,                0.67372,                0.40562,                0.88497,                 0.8592,                0.61224,                0.69424,                0.44827,                0.76678,                0.43541,                0.77742,             0.00042419,             0.00042419,             0.00042419
                     43,                0.65562,                0.40929,                0.89041,                0.85653,                 0.6056,                0.69035,                0.45089,                0.77809,                0.43973,                0.78486,             0.00041712,             0.00041712,             0.00041712
                     44,                0.68393,                0.40777,                0.87256,                0.85967,                0.61779,                0.70044,                0.45017,                 0.7613,                0.43176,                0.77016,             0.00041005,             0.00041005,             0.00041005
                     45,                0.65939,                0.39981,                 0.8835,                0.85878,                 0.6244,                 0.6937,                0.45027,                0.75825,                0.43104,                0.77027,             0.00040298,             0.00040298,             0.00040298
                     46,                0.64573,                0.39251,                0.87907,                0.83211,                0.63212,                0.69875,                0.45073,                 0.7562,                0.42568,                0.76854,             0.00039591,             0.00039591,             0.00039591
                     47,                0.65305,                0.38747,                0.87442,                 0.8486,                0.62557,                0.69881,                0.45643,                 0.7464,                0.42021,                0.76255,             0.00038884,             0.00038884,             0.00038884
                     48,                0.66872,                0.39022,                0.87867,                0.85652,                0.63214,                0.70146,                0.45505,                0.75085,                0.42136,                0.76443,             0.00038178,             0.00038178,             0.00038178
                     49,                0.68751,                0.46433,                0.86377,                 0.8847,                0.61847,                0.70064,                0.45578,                0.75461,                0.42455,                0.76896,             0.00037471,             0.00037471,             0.00037471
                     50,                0.66407,                0.38641,                0.87523,                0.85094,                0.62558,                0.70366,                 0.4612,                0.74757,                0.42104,                0.76916,             0.00036764,             0.00036764,             0.00036764
                     51,                0.65495,                0.38625,                0.88614,                0.82638,                0.63177,                0.69951,                0.45828,                0.74662,                0.42269,                0.76522,             0.00036057,             0.00036057,             0.00036057
