Model Name,Epoch,Precision,Recall,mAP50,mAP50-95
YOLOv8n,100.0,0.86877,0.60239,0.68179,0.44293
YOLOv8s,97.0,0.8704,0.65233,0.73954,0.49606
YOLOv8m,100.0,0.89172,0.67232,0.77134,0.52571
YOLOv9t,90.0,0.85681,0.59015,0.66651,0.43441
YOLOv9s,100.0,0.87516,0.64191,0.72649,0.48589
YOLOv9m,98.0,0.85315,0.68532,0.76316,0.52111
YOLOv10n,99.0,0.82104,0.58599,0.66139,0.43328
YOLOv10s,99.0,0.86741,0.64925,0.73679,0.49366
YOLOv10m,99.0,0.856,0.66572,0.75669,0.51826
YOLO11n,98.0,0.87111,0.59615,0.67776,0.43749
YOLO11s,100.0,0.889,0.64609,0.73705,0.49936
YOLO11m,99.0,0.89441,0.66853,0.77148,0.52891
