Model Name,Epoch,Precision,Recall,mAP50,mAP50-95,Fitness Score
YOLOv8n,100.0,0.86877,0.60239,0.68179,0.44293,0.466816
YOLOv8s,97.0,0.8704,0.65233,0.73954,0.49606,0.520408
YOLOv8m,100.0,0.89172,0.67232,0.77134,0.52571,0.550273
YOLOv9t,90.0,0.85681,0.59015,0.66651,0.43441,0.45762
YOLOv9s,100.0,0.87516,0.64191,0.72649,0.48589,0.50995
YOLOv9m,98.0,0.85315,0.68532,0.76316,0.52111,0.545315
YOLOv10n,99.0,0.82104,0.58599,0.66139,0.43328,0.456091
YOLOv10s,99.0,0.86741,0.64925,0.73679,0.49366,0.517973
YOLOv10m,99.0,0.856,0.66572,0.75669,0.51826,0.5421030000000001
YOLO11n,98.0,0.87111,0.59615,0.67776,0.43749,0.461517
YOLO11s,100.0,0.889,0.64609,0.73705,0.49936,0.5231290000000001
YOLO11m,99.0,0.89441,0.66853,0.77148,0.52891,0.5531670000000001
